frame.time,ip.src_host,ip.dst_host,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.len,http.request.method,http.request.full_uri,http.request.version,http.request.uri.query,http.referer,http.content_length,http.file_data,http.response,mqtt.msgtype,mqtt.msg,mqtt.topic,mqtt.topic_len,mqtt.conflags,mqtt.conflag.cleansess,mqtt.len,mqtt.proto_len,mqtt.protoname,mqtt.ver,mqtt.msg_decoded_as,mqtt.conack.flags,mqtt.hdrflags,mqtt.qos,mqtt.retain,mqtt.dupflag,ip.ttl,tcp.window_size,http.user_agent,http.host,mqtt.clientid,frame.len,frame.protocols,Temperature,Memory,In_Temperature,CPU,RSSI,MAC_extracted,HR,PULSE,RESP,SpO2,anomaly.layer,anomaly.name,anomaly.label
1758211694226590,10.42.0.8,10.42.0.1,49957,8080,18,1,0,1,0,0,1,0,113,POST,http://172.20.10.4/,HTTP/1.0,0.0,0.0,21,"{""Wakeup: 0, Mode: 0, Reset: 1, HR:86,PULSE:77,RESP:16,SpO2:96, Uptime: 1628, Memory: 94.9, In_Temperature: 51.7°C, CPU: 160, RSSI: -51, MAC: C4:4F:33:25:6D:A0, F_Storage: 99.22""}",0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,5760.0,0.0,172.20.10.4,0.0,167,eth:ethertype:ip:tcp:http:json,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694226752,10.42.0.1,10.42.0.8,8080,49957,1,131,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,65535.0,0.0,0,0.0,54,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694227641,10.42.0.1,10.42.0.8,8080,49957,1,131,0,1,0,0,1,0,118,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,65535.0,0.0,0,0.0,172,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694227853,10.42.0.1,10.42.0.8,8080,49957,119,131,0,1,1,0,1,0,11,0,http://172.20.10.4/,0,0.0,0.0,0,OK from Mac,True,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,65535.0,0.0,0,0.0,65,eth:ethertype:ip:tcp:http:data-text-lines,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694239472,10.42.0.8,10.42.0.1,49957,8080,131,131,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,5630.0,0.0,0,0.0,54,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694315975,10.42.0.8,10.42.0.1,49957,8080,131,131,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,5630.0,0.0,0,0.0,54,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211694316268,10.42.0.1,10.42.0.8,8080,49957,131,132,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,65535.0,0.0,0,0.0,54,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211724331583,10.42.0.8,10.42.0.1,49958,8080,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,5760.0,0.0,0,0.0,58,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211724332325,10.42.0.1,10.42.0.8,8080,49958,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,65535.0,0.0,0,0.0,58,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
1758211724354934,10.42.0.8,10.42.0.1,49958,8080,1,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,,0,0,,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,64.0,5760.0,0.0,0,0.0,54,eth:ethertype:ip:tcp,,94.9,51.7,160.0,-51.0,C4:4F:33:25:6D:A0,86.0,77.0,16.0,96.0,3.0,Arrhythmia/SignalArtifact,1.0
