frame.time,ip.src_host,ip.dst_host,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.len,http.request.method,http.request.full_uri,http.request.version,http.request.uri.query,http.referer,http.content_length,http.file_data,http.response,mqtt.msgtype,mqtt.msg,mqtt.topic,mqtt.topic_len,mqtt.conflags,mqtt.conflag.cleansess,mqtt.len,mqtt.proto_len,mqtt.protoname,mqtt.ver,mqtt.msg_decoded_as,mqtt.conack.flags,mqtt.hdrflags,mqtt.qos,mqtt.retain,mqtt.dupflag,ip.ttl,tcp.window_size,http.user_agent,http.host,mqtt.clientid,frame.len,frame.protocols,Temperature,Memory,In_Temperature,CPU,RSSI,MAC_extracted,HR,PULSE,RESP,SpO2,anomaly.layer,anomaly.name,anomaly.label
1749723920575462,10.42.0.149,10.42.0.1,50412,1883,1.0,1.0,0,1,0,0,1,0,3.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,0,57.0,eth:ethertype:ip:tcp,39.0,94.9,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,3,Clinical,1
1749723920575502,10.42.0.1,10.42.0.149,1883,50412,1.0,4.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64237.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723920580692,10.42.0.149,10.42.0.1,50412,1883,4.0,1.0,0,1,0,0,1,0,39.8,0,0,0,0,0.0,0,,0,1,,0,0,0,1,42,4,MQTT,4,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,esp32_a842e3abaccc,95.0,eth:ethertype:ip:tcp:mqtt,39.0,94.9,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,3,Clinical,1
1749723920580726,10.42.0.1,10.42.0.149,1883,50412,1.0,45.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64196.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723920580976,10.42.0.1,10.42.0.149,1883,50412,1.0,45.0,0,1,0,0,1,0,4.0,0,0,0,0,0.0,0,,0,2,,0,0,0,0,2,0,0,0,0.0,0x00,0,0,0,0,64.0,64196.0,0.0,0.0,0,58.0,eth:ethertype:ip:tcp:mqtt,,,,,,,,,,,0,Normal,0
1749723920604963,10.42.0.149,10.42.0.1,50412,1883,45.0,5.0,0,1,0,0,1,0,3.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0.0,0.0,0,57.0,eth:ethertype:ip:tcp,39.0,94.9,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,3,Clinical,1
1749723920621117,10.42.0.149,10.42.0.1,50412,1883,48.0,5.0,0,1,1,0,1,0,182.0,0,0,0,0,0.0,0,,0,3,"Wakeup: 0, Mode: 0, Reset: 1, Temperature: 39.8, Uptime: 328753, Memory: 94.8, In_Temperature: 51.1, CPU: 160, RSSI: -51, MAC: a8:42:e3:ab:ac:cc, F_Storage: 99.22",test/temperatura,16,0,0,180,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0.0,0.0,0,236.0,eth:ethertype:ip:tcp:mqtt:mqtt,39.8,94.8,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,3,Clinical,1
1749723920621316,10.42.0.1,10.42.0.149,1883,50412,5.0,231.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64010.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723920621357,10.42.0.1,10.42.0.149,1883,50412,5.0,231.0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64010.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723920624579,10.42.0.149,10.42.0.1,50412,1883,231.0,6.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5755.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,39.8,94.8,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,3,Clinical,1
1749723944795394,10.42.0.139,10.42.0.1,59878,1883,0.0,0.0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,0,58.0,eth:ethertype:ip:tcp,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944795502,10.42.0.1,10.42.0.139,1883,59878,0.0,1.0,1,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64240.0,0.0,0.0,0,58.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723944799537,10.42.0.139,10.42.0.1,59878,1883,1.0,1.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944801817,10.42.0.139,10.42.0.1,59878,1883,1.0,1.0,0,1,0,0,1,0,3.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,0,57.0,eth:ethertype:ip:tcp,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944801865,10.42.0.1,10.42.0.139,1883,59878,1.0,4.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64237.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723944805235,10.42.0.139,10.42.0.1,59878,1883,4.0,1.0,0,1,0,0,1,0,39.8,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,0,83.0,eth:ethertype:ip:tcp,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944805272,10.42.0.1,10.42.0.139,1883,59878,1.0,38.5,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64208.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723944809094,10.42.0.139,10.42.0.1,59878,1883,38.5,1.0,0,1,0,0,1,0,12.0,0,0,0,0,0.0,0,,0,1,,0,0,0,1,42,4,MQTT,4,0.0,0,0,0,0,0,64.0,5760.0,0.0,0.0,esp32_a0a3b3edac1c,66.0,eth:ethertype:ip:tcp:mqtt,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944809129,10.42.0.1,10.42.0.139,1883,59878,1.0,45.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64196.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723944809460,10.42.0.1,10.42.0.139,1883,59878,1.0,45.0,0,1,0,0,1,0,4.0,0,0,0,0,0.0,0,,0,2,,0,0,0,0,2,0,0,0,0.0,0x00,0,0,0,0,64.0,64196.0,0.0,0.0,0,58.0,eth:ethertype:ip:tcp:mqtt,,,,,,,,,,,0,Normal,0
1749723944845393,10.42.0.139,10.42.0.1,59878,1883,45.0,5.0,0,1,0,0,1,0,3.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0.0,0.0,0,57.0,eth:ethertype:ip:tcp,38.5,94.9,51.7,160.0,-49.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944859483,10.42.0.139,10.42.0.1,59878,1883,48.0,5.0,0,1,1,0,1,0,185.0,0,0,0,0,0.0,0,,0,3,"Wakeup: 0, Mode: 0, Reset: 1, Temperature: 39.3, Uptime: 432229, Memory: 94.9, In_Temperature: 51.7°C, CPU: 160, RSSI: -51, MAC: a0:a3:b3:ed:ac:1c, F_Storage: 99.2",test/temperatura,16,0,0,182,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0.0,0.0,0,239.0,eth:ethertype:ip:tcp:mqtt,39.3,94.9,51.7,160.0,-51.0,a0:a3:b3:ed:ac:1c,,,,,3,Clinical,1
1749723944859638,10.42.0.1,10.42.0.139,1883,59878,5.0,234.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64007.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
1749723944859676,10.42.0.1,10.42.0.139,1883,59878,5.0,234.0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64007.0,0.0,0.0,0,54.0,eth:ethertype:ip:tcp,,,,,,,,,,,0,Normal,0
