frame.time,ip.src_host,ip.dst_host,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.len,http.request.method,http.request.full_uri,http.request.version,http.request.uri.query,http.referer,http.content_length,http.file_data,http.response,mqtt.msgtype,mqtt.msg,mqtt.topic,mqtt.topic_len,mqtt.conflags,mqtt.conflag.cleansess,mqtt.len,mqtt.proto_len,mqtt.protoname,mqtt.ver,mqtt.msg_decoded_as,mqtt.conack.flags,mqtt.hdrflags,mqtt.qos,mqtt.retain,mqtt.dupflag,ip.ttl,tcp.window_size,http.user_agent,http.host,mqtt.clientid,frame.len,frame.protocols,Temperature,Memory,In_Temperature,CPU,RSSI,MAC_extracted,HR,PULSE,RESP,SpO2,anomaly.layer,anomaly.name,anomaly.label
1755595777023862,10.42.0.37,10.42.0.1,36373,8000,1287039288,1665032969,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777023863,10.42.0.37,10.42.0.1,36374,8000,359817955,418636040,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777023864,10.42.0.37,10.42.0.1,36376,8000,716145802,750220816,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777023865,10.42.0.37,10.42.0.1,36377,8000,8895518,404870161,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777023866,10.42.0.37,10.42.0.1,36379,8000,4150601412,408699375,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777023867,10.42.0.37,10.42.0.1,36381,8000,1148657316,520410113,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777024617,10.42.0.37,10.42.0.1,36383,8000,762302910,1103272997,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777024620,10.42.0.37,10.42.0.1,36384,8000,660318621,1812096652,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777024621,10.42.0.37,10.42.0.1,36385,8000,3556083455,1508458559,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777024623,10.42.0.37,10.42.0.1,36386,8000,2844923150,982403489,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777025039,10.42.0.37,10.42.0.1,36387,8000,536032371,395356752,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777025904,10.42.0.37,10.42.0.1,36388,8000,756960736,1467665000,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
1755595777027487,10.42.0.37,10.42.0.1,36389,8000,3451476377,1568207263,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,512.0,0.0,0.0,0,54,eth:ethertype:ip:tcp,,,,,,,,,,,2,FIN_Flood,1
