frame.time,ip.src_host,ip.dst_host,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.len,http.request.method,http.request.full_uri,http.request.version,http.request.uri.query,http.referer,http.content_length,http.file_data,http.response,mqtt.msgtype,mqtt.msg,mqtt.topic,mqtt.topic_len,mqtt.conflags,mqtt.conflag.cleansess,mqtt.len,mqtt.proto_len,mqtt.protoname,mqtt.ver,mqtt.msg_decoded_as,mqtt.conack.flags,mqtt.hdrflags,mqtt.qos,mqtt.retain,mqtt.dupflag,ip.ttl,tcp.window_size,http.user_agent,http.host,mqtt.clientid,frame.len,frame.protocols,Temperature,Memory,In_Temperature,CPU,RSSI,MAC_extracted,HR,PULSE,RESP,SpO2,anomaly.layer,anomaly.name,anomaly.label
1744054325071974,10.42.0.1,10.42.0.149,1883,65131,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64240.0,0,0,0,58,eth:ethertype:ip:tcp,,9.0,,,,,,,,,1.0,Overheating,1.0
1744054325076078,10.42.0.149,10.42.0.1,65131,1883,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,54,eth:ethertype:ip:tcp,36.3,9.0,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,1.0,Overheating,1.0
1744054325078012,10.42.0.149,10.42.0.1,65131,1883,1,1,0,1,0,0,1,0,3,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,57,eth:ethertype:ip:tcp,36.3,9.0,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,1.0,Overheating,1.0
1744054325078056,10.42.0.1,10.42.0.149,1883,65131,1,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64237.0,0,0,0,54,eth:ethertype:ip:tcp,,9.0,,,,,,,,,1.0,Overheating,1.0
1744054325081588,10.42.0.149,10.42.0.1,65131,1883,4,1,0,1,0,0,1,0,37,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,83,eth:ethertype:ip:tcp,36.3,9.0,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,1.0,Overheating,1.0
1744054325081627,10.42.0.1,10.42.0.149,1883,65131,1,36,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64208.0,0,0,0,54,eth:ethertype:ip:tcp,,9.0,,,,,,,,,1.0,Overheating,1.0
1744054325084760,10.42.0.149,10.42.0.1,65131,1883,36,1,0,1,0,0,1,0,12,0,0,0,0,0.0,0,,0,1,,0,0,0,1,42,4,MQTT,4,0.0,0,0,0,0,0,64.0,5760.0,0,0,esp32_a842e3abaccc,66,eth:ethertype:ip:tcp:mqtt,36.3,9.0,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,1.0,Overheating,1.0
1744054325084798,10.42.0.1,10.42.0.149,1883,65131,1,45,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,64196.0,0,0,0,54,eth:ethertype:ip:tcp,,9.0,,,,,,,,,1.0,Overheating,1.0
1744054325085123,10.42.0.1,10.42.0.149,1883,65131,1,45,0,1,0,0,1,0,4,0,0,0,0,0.0,0,,0,2,,0,0,0,0,2,0,0,0,0.0,0x00,0,0,0,0,64.0,64196.0,0,0,0,58,eth:ethertype:ip:tcp:mqtt,,9.0,,,,,,,,,1.0,Overheating,1.0
1744054325108663,10.42.0.149,10.42.0.1,65131,1883,45,5,0,1,0,0,1,0,3,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0,0,0,57,eth:ethertype:ip:tcp,36.3,9.0,51.1,160.0,-51.0,a8:42:e3:ab:ac:cc,,,,,1.0,Overheating,1.0
