frame.time,ip.src_host,ip.dst_host,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.flags.push,tcp.flags.urg,tcp.len,http.request.method,http.request.full_uri,http.request.version,http.request.uri.query,http.referer,http.content_length,http.file_data,http.response,mqtt.msgtype,mqtt.msg,mqtt.topic,mqtt.topic_len,mqtt.conflags,mqtt.conflag.cleansess,mqtt.len,mqtt.proto_len,mqtt.protoname,mqtt.ver,mqtt.msg_decoded_as,mqtt.conack.flags,mqtt.hdrflags,mqtt.qos,mqtt.retain,mqtt.dupflag,ip.ttl,tcp.window_size,http.user_agent,http.host,mqtt.clientid,frame.len,frame.protocols,Temperature,Memory,In_Temperature,CPU,RSSI,MAC_extracted,HR,PULSE,RESP,SpO2,anomaly.layer,anomaly.name,anomaly.label
1744037425929967,10.42.0.139,10.42.0.1,57652,1883,234,6,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5755.0,0,0,0,54,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-74.33295043960489,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455934054,10.42.0.139,10.42.0.1,57653,1883,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,58,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-94.29720956392408,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455938159,10.42.0.139,10.42.0.1,57653,1883,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,54,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-84.78026364556068,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455940460,10.42.0.139,10.42.0.1,57653,1883,1,1,0,1,0,0,1,0,3,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,57,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-88.01060120029175,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455943526,10.42.0.139,10.42.0.1,57653,1883,4,1,0,1,0,0,1,0,37,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,85,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-86.98416584914945,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455947037,10.42.0.139,10.42.0.1,57653,1883,35,1,0,1,0,0,1,0,10,0,0,0,0,0.0,0,,0,1,,0,0,0,1,42,4,MQTT,4,0.0,0,0,0,0,0,64.0,5760.0,0,0,esp32_a0a3b3edac1c,64,eth:ethertype:ip:tcp:mqtt,36.7,94.9,52.2,160.0,-82.35558936317436,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455982501,10.42.0.139,10.42.0.1,57653,1883,45,5,0,1,0,0,1,0,3,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0,0,0,57,eth:ethertype:ip:tcp,36.7,94.9,52.2,160.0,-89.38572411798799,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455994339,10.42.0.139,10.42.0.1,57653,1883,48,5,0,1,1,0,1,0,185,0,0,0,0,0.0,0,,0,3,"Wakeup: 0, Mode: 0, Reset: 1, Temperature: 36.9, Uptime: 365319, Memory: 94.9, In_Temperature: 51.7°C, CPU: 160, RSSI: -50, MAC: a0:a3:b3:ed:ac:1c, F_Storage: 99.2",test/temperatura,16,0,0,182,0,0,0,0.0,0,0,0,0,0,64.0,5756.0,0,0,0,239,eth:ethertype:ip:tcp:mqtt,36.9,94.9,51.7,160.0,-78.021872848678,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037455997646,10.42.0.139,10.42.0.1,57653,1883,234,6,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5755.0,0,0,0,54,eth:ethertype:ip:tcp,36.9,94.9,51.7,160.0,-92.02793044282433,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037486002512,10.42.0.139,10.42.0.1,57654,1883,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,58,eth:ethertype:ip:tcp,36.9,94.9,51.7,160.0,-70.08392974810093,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
1744037486006802,10.42.0.139,10.42.0.1,57654,1883,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0,,0,0,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,64.0,5760.0,0,0,0,54,eth:ethertype:ip:tcp,36.9,94.9,51.7,160.0,-78.90678890442624,a0:a3:b3:ed:ac:1c,,,,,1.0,Weak_Signal,1.0
